Date,Open,High,Low,Close,Adj Close,Volume
2021-04-01,33054.578125,33167.171875,32985.3515625,33153.2109375,33153.2109375,4151240000
2021-04-05,33222.37890625,33617.94921875,33222.37890625,33527.19140625,33527.19140625,3999760000
2021-04-06,33500.01953125,33544.7890625,33380.4296875,33430.23828125,33430.23828125,4027880000
2021-04-07,33444.98046875,33521.76171875,33347.9609375,33446.26171875,33446.26171875,4112640000
2021-04-08,33469.890625,33506.80078125,33342.640625,33503.5703125,33503.5703125,3901910000
2021-04-09,33526.19140625,33810.87109375,33526.19140625,33800.6015625,33800.6015625,3634910000
2021-04-12,33775.05859375,33786.19140625,33665.5390625,33745.3984375,33745.3984375,3578500000
2021-04-13,33721.16015625,33741.640625,33545.83984375,33677.26953125,33677.26953125,3728440000
2021-04-14,33668.94921875,33911.25,33668.94921875,33730.890625,33730.890625,3976540000
2021-04-15,33788.53125,34068.73046875,33788.53125,34035.98828125,34035.98828125,4027680000
2021-04-16,34058.16015625,34256.75,34058.16015625,34200.671875,34200.671875,4157430000
2021-04-19,34182.37890625,34182.37890625,33980.55859375,34077.62890625,34077.62890625,3788020000
2021-04-20,34034.1796875,34034.1796875,33687.01171875,33821.30078125,33821.30078125,4338230000
2021-04-21,33808.30078125,34160.33984375,33773.80078125,34137.30859375,34137.30859375,3865820000
2021-04-22,34109.87890625,34126.5703125,33717.19140625,33815.8984375,33815.8984375,4235040000
2021-04-23,33804.51953125,34157.5703125,33713.2890625,34043.48828125,34043.48828125,3568080000
2021-04-26,34044.23046875,34148.94140625,33941.37109375,33981.5703125,33981.5703125,3738920000
2021-04-27,33932.12890625,34043.98046875,33870.4609375,33984.9296875,33984.9296875,3703240000
2021-04-28,33860.4609375,33946.6015625,33805.55859375,33820.37890625,33820.37890625,3772390000
2021-04-29,33855.640625,34087.2109375,33744.28125,34060.359375,34060.359375,4288940000
2021-04-30,33988.75,33988.75,33784.9609375,33874.8515625,33874.8515625,4273680000
2021-05-03,33904.890625,34221.05859375,33904.890625,34113.23046875,34113.23046875,4061170000
2021-05-04,34080.19921875,34147.78125,33765.6796875,34133.03125,34133.03125,4441080000
2021-05-05,34163.98828125,34331.19921875,34039.66015625,34230.33984375,34230.33984375,4029050000
2021-05-06,34245.109375,34561.2890625,34185.05859375,34548.53125,34548.53125,4504860000
2021-05-07,34578.26953125,34811.390625,34464.30859375,34777.76171875,34777.76171875,4013060000
2021-05-10,34785.26953125,35091.55859375,34741.5703125,34742.8203125,34742.8203125,3678970000
2021-05-11,34572.73828125,34572.73828125,34075.30859375,34269.16015625,34269.16015625,3593110000
2021-05-12,34206.3984375,34207.87109375,33555.21875,33587.66015625,33587.66015625,3735080000
2021-05-13,33624.73828125,34181.76953125,33623.48828125,34021.44921875,34021.44921875,3687780000
2021-05-14,34050.859375,34454.05078125,34050.859375,34382.12890625,34382.12890625,3251920000
2021-05-17,34375.2890625,34383.83984375,34176.6484375,34327.7890625,34327.7890625,3307130000
2021-05-18,34351.1796875,34408.98828125,34044.1015625,34060.66015625,34060.66015625,3559790000
2021-05-19,33945.80859375,33945.80859375,33473.80078125,33896.0390625,33896.0390625,3485550000
2021-05-20,33906.30078125,34233.3984375,33872.41015625,34084.1484375,34084.1484375,3019060000
2021-05-21,34121.91015625,34415.48046875,34121.91015625,34207.83984375,34207.83984375,3344620000
2021-05-24,34253.87109375,34472.51171875,34253.87109375,34393.98046875,34393.98046875,2947400000
2021-05-25,34428.66015625,34511.3515625,34266.03125,34312.4609375,34312.4609375,3420870000
2021-05-26,34336.33984375,34409.58984375,34271.44140625,34323.05078125,34323.05078125,3674490000
2021-05-27,34432.46875,34608.8203125,34389.23828125,34464.640625,34464.640625,5201110000
2021-06-01,34584.19140625,34849.3203125,34542.87109375,34575.30859375,34575.30859375,4122960000
2021-06-02,34614.62109375,34706.6484375,34545.9609375,34600.37890625,34600.37890625,4860930000
2021-06-03,34550.30859375,34667.41015625,34334.41015625,34577.0390625,34577.0390625,4579450000
2021-06-04,34618.69140625,34772.12109375,34618.69140625,34756.390625,34756.390625,3487070000
2021-06-07,34766.19921875,34820.91015625,34574.51171875,34630.23828125,34630.23828125,3835570000
2021-06-08,34645.83984375,34665.37890625,34452.94140625,34599.8203125,34599.8203125,3943870000
2021-06-09,34626.16015625,34654.671875,34439.37109375,34447.140625,34447.140625,3902870000
2021-06-10,34502.51171875,34737.7890625,34447.25,34466.23828125,34466.23828125,3502480000
2021-06-11,34499.80859375,34618.08984375,34328.6484375,34479.6015625,34479.6015625,3204280000
2021-06-14,34472.51953125,34472.51953125,34211.5390625,34393.75,34393.75,3612050000
2021-06-15,34397.1015625,34420.37890625,34199.16015625,34299.328125,34299.328125,3578450000
2021-06-16,34308.48046875,34333.25,33917.109375,34033.671875,34033.671875,3722050000
2021-06-17,34014.37890625,34091.7890625,33626.609375,33823.44921875,33823.44921875,3952110000
2021-06-18,33622.69921875,33622.69921875,33271.9296875,33290.078125,33290.078125,6084980000
2021-06-21,33312.0703125,33908.08984375,33312.0703125,33876.96875,33876.96875,3391740000
2021-06-22,33872.55859375,34040.69921875,33751.05859375,33945.578125,33945.578125,3208760000
2021-06-23,33948.5390625,34009.3984375,33869.828125,33874.23828125,33874.23828125,3172440000
2021-06-24,33933.91015625,34233.01953125,33933.91015625,34196.8203125,34196.8203125,3141680000
2021-06-25,34328.1015625,34501.01953125,34314.80078125,34433.83984375,34433.83984375,6248390000
2021-06-28,34428.1015625,34449.6484375,34186.12890625,34283.26953125,34283.26953125,3415610000
2021-06-29,34338.890625,34469.828125,34266.828125,34292.2890625,34292.2890625,3049560000
2021-06-30,34290.73828125,34553.16015625,34245.48046875,34502.51171875,34502.51171875,3687880000
2021-07-01,34507.3203125,34640.28125,34498.8515625,34633.53125,34633.53125,3077580000
2021-07-02,34642.421875,34821.9296875,34613.48828125,34786.3515625,34786.3515625,2628550000
2021-07-06,34790.16015625,34814.19921875,34358.421875,34577.37109375,34577.37109375,3437900000
2021-07-07,34604.171875,34708.78125,34435.58984375,34681.7890625,34681.7890625,3243900000
2021-07-08,34569.01171875,34569.01171875,34145.58984375,34421.9296875,34421.9296875,3393780000
2021-07-09,34457.51171875,34893.71875,34457.51171875,34870.16015625,34870.16015625,2738280000
2021-07-12,34836.75,35014.8984375,34730.1484375,34996.1796875,34996.1796875,2983980000
2021-07-13,34959.9609375,35018.7890625,34876.890625,34888.7890625,34888.7890625,3166900000
2021-07-14,34920.828125,35069.1796875,34826.87109375,34933.23046875,34933.23046875,3213870000
2021-07-15,34924.80859375,34990.41015625,34762.87109375,34987.01953125,34987.01953125,3226930000
2021-07-16,35007.94140625,35090.01171875,34647.8203125,34687.8515625,34687.8515625,3165160000
2021-07-19,34528.48046875,34528.48046875,33741.76171875,33962.0390625,33962.0390625,4155790000
2021-07-20,33981.7890625,34621.7890625,33981.7890625,34511.98828125,34511.98828125,3634190000
